nohup: ignoring input
=== Starting Curriculum ===
  Stage 1/3  |  torpedoes = 1  |  distance = (1500.0, 2400.0)  |  target survival = 90.0%
Ep 04200 | Stage 3 (3 torps) | Reward   +701.0 | Survival  37.9% | eps 0.33 | noise 0.92
Ep 04220 | Stage 3 (3 torps) | Reward   +789.3 | Survival  40.8% | eps 0.32 | noise 0.87
Ep 04240 | Stage 3 (3 torps) | Reward   +707.3 | Survival  39.1% | eps 0.30 | noise 0.82
Ep 04260 | Stage 3 (3 torps) | Reward   +378.2 | Survival  39.3% | eps 0.29 | noise 0.76
Ep 04280 | Stage 3 (3 torps) | Reward   +410.8 | Survival  35.0% | eps 0.27 | noise 0.71
Ep 04300 | Stage 3 (3 torps) | Reward  +1503.5 | Survival  36.0% | eps 0.26 | noise 0.65
Ep 04320 | Stage 3 (3 torps) | Reward  +1814.4 | Survival  35.0% | eps 0.24 | noise 0.60
Ep 04340 | Stage 3 (3 torps) | Reward   +990.9 | Survival  43.0% | eps 0.23 | noise 0.54
Ep 04360 | Stage 3 (3 torps) | Reward  +1431.7 | Survival  46.0% | eps 0.22 | noise 0.49
Ep 04380 | Stage 3 (3 torps) | Reward  +1026.5 | Survival  51.0% | eps 0.20 | noise 0.44
Ep 04400 | Stage 3 (3 torps) | Reward  +1392.5 | Survival  56.0% | eps 0.19 | noise 0.38
Ep 04420 | Stage 3 (3 torps) | Reward  +1490.2 | Survival  60.0% | eps 0.17 | noise 0.33
Ep 04440 | Stage 3 (3 torps) | Reward  +1372.0 | Survival  59.0% | eps 0.16 | noise 0.27
Ep 04460 | Stage 3 (3 torps) | Reward   +871.1 | Survival  59.0% | eps 0.14 | noise 0.22
Ep 04480 | Stage 3 (3 torps) | Reward   +200.3 | Survival  57.0% | eps 0.13 | noise 0.16
Ep 04500 | Stage 3 (3 torps) | Reward  +1267.0 | Survival  58.0% | eps 0.12 | noise 0.11
Ep 04520 | Stage 3 (3 torps) | Reward   +246.7 | Survival  60.0% | eps 0.10 | noise 0.06
Ep 04540 | Stage 3 (3 torps) | Reward  +1065.2 | Survival  61.0% | eps 0.10 | noise 0.05
Ep 04560 | Stage 3 (3 torps) | Reward  +1355.9 | Survival  66.0% | eps 0.10 | noise 0.05
Ep 04580 | Stage 3 (3 torps) | Reward  +1326.1 | Survival  71.0% | eps 0.10 | noise 0.05
Ep 04600 | Stage 3 (3 torps) | Reward  +1361.3 | Survival  72.0% | eps 0.10 | noise 0.05
Ep 04620 | Stage 3 (3 torps) | Reward   +259.1 | Survival  70.0% | eps 0.10 | noise 0.05
Ep 04640 | Stage 3 (3 torps) | Reward   +213.0 | Survival  67.0% | eps 0.10 | noise 0.05
Ep 04660 | Stage 3 (3 torps) | Reward  +1734.9 | Survival  63.0% | eps 0.10 | noise 0.05
Ep 04680 | Stage 3 (3 torps) | Reward  +1002.3 | Survival  59.0% | eps 0.10 | noise 0.05
Ep 04700 | Stage 3 (3 torps) | Reward   +970.2 | Survival  57.0% | eps 0.10 | noise 0.05
Ep 04720 | Stage 3 (3 torps) | Reward   +211.1 | Survival  56.0% | eps 0.10 | noise 0.05
Ep 04740 | Stage 3 (3 torps) | Reward  +1890.9 | Survival  55.0% | eps 0.10 | noise 0.05
Ep 04760 | Stage 3 (3 torps) | Reward  +1342.2 | Survival  55.0% | eps 0.10 | noise 0.05
Ep 04780 | Stage 3 (3 torps) | Reward   +596.6 | Survival  54.0% | eps 0.10 | noise 0.05
Ep 04800 | Stage 3 (3 torps) | Reward  +1576.6 | Survival  54.0% | eps 0.10 | noise 0.05
Ep 04820 | Stage 3 (3 torps) | Reward   +935.5 | Survival  55.0% | eps 0.10 | noise 0.05
Ep 04840 | Stage 3 (3 torps) | Reward   +610.4 | Survival  50.0% | eps 0.10 | noise 0.05
Ep 04860 | Stage 3 (3 torps) | Reward  +1344.5 | Survival  49.0% | eps 0.10 | noise 0.05
Ep 04880 | Stage 3 (3 torps) | Reward   +274.0 | Survival  49.0% | eps 0.10 | noise 0.05
Ep 04900 | Stage 3 (3 torps) | Reward  +1611.5 | Survival  48.0% | eps 0.10 | noise 0.05
